date_idx,open,high,low,close,volume
2026-03-23 11:11:00,36400,36400,36300,36300,705
2026-03-23 11:12:00,36450,36450,36350,36400,249
2026-03-23 11:13:00,36250,36350,36200,36250,475
2026-03-23 11:14:00,36300,36300,36200,36250,47
2026-03-23 11:15:00,36300,36300,36200,36200,157
2026-03-23 11:16:00,36200,36200,36200,36200,155
2026-03-23 11:17:00,36150,36200,36150,36200,361
2026-03-23 11:18:00,36200,36250,36200,36250,308
2026-03-23 11:19:00,36150,36200,36150,36200,41
2026-03-23 11:20:00,36150,36150,36050,36050,349
2026-03-23 11:21:00,36150,36150,36050,36100,78
2026-03-23 11:22:00,36150,36250,36150,36200,203
2026-03-23 11:23:00,36150,36200,36150,36200,149
2026-03-23 11:24:00,36250,36250,36250,36250,270
2026-03-23 11:25:00,36250,36300,36250,36300,25
2026-03-23 11:26:00,36300,36450,36300,36450,1133
2026-03-23 11:27:00,36350,36500,36350,36400,161
2026-03-23 11:28:00,36400,36400,36400,36400,9
2026-03-23 11:29:00,36400,36550,36350,36550,414
2026-03-23 11:30:00,36550,36600,36500,36600,60
2026-03-23 11:31:00,36650,36650,36600,36600,33
2026-03-23 11:32:00,36500,36750,36500,36750,445
2026-03-23 11:33:00,36600,36650,36600,36650,424
2026-03-23 11:34:00,36650,36650,36575,36650,288
2026-03-23 11:35:00,36700,36700,36700,36700,270
2026-03-23 11:36:00,36700,36700,36650,36650,23
2026-03-23 11:37:00,36650,36800,36550,36650,886
2026-03-23 11:38:00,36650,36800,36650,36800,9
2026-03-23 11:39:00,36800,36800,36550,36550,100
2026-03-23 11:40:00,36550,36550,36400,36400,603
2026-03-23 11:41:00,36550,36550,36400,36400,157
2026-03-23 11:42:00,36500,36500,36450,36450,12
2026-03-23 11:43:00,36450,36450,36450,36450,19
2026-03-23 11:44:00,36400,36500,36400,36500,46
2026-03-23 11:45:00,36500,36500,36500,36500,10
2026-03-23 11:46:00,36500,36500,36500,36500,3
2026-03-23 11:47:00,36500,36500,36400,36400,67
2026-03-23 11:48:00,36400,36400,36375,36400,81
2026-03-23 11:49:00,36450,36450,36400,36400,101
2026-03-23 11:50:00,36400,36400,36400,36400,410
2026-03-23 11:51:00,36400,36400,36350,36400,226
2026-03-23 11:52:00,36375,36375,36300,36300,170
2026-03-23 11:53:00,36300,36350,36300,36350,157
2026-03-23 11:54:00,36350,36400,36350,36400,106
2026-03-23 11:55:00,36450,36450,36450,36450,9
2026-03-23 11:56:00,36450,36450,36450,36450,38
2026-03-23 11:57:00,36450,36450,36450,36450,15
2026-03-23 11:58:00,36450,36450,36400,36450,110
2026-03-23 11:59:00,36450,36450,36450,36450,88
2026-03-23 12:00:00,36400,36400,36400,36400,48
2026-03-23 12:01:00,36400,36450,36400,36400,158
2026-03-23 12:02:00,36450,36450,36450,36450,8
2026-03-23 12:03:00,36400,36450,36400,36400,239
2026-03-23 12:04:00,36400,36400,36300,36300,1186
2026-03-23 12:05:00,36350,36450,36300,36450,11
2026-03-23 12:06:00,36400,36400,36300,36300,37
2026-03-23 12:07:00,36400,36425,36400,36400,15
2026-03-23 12:08:00,36450,36450,36300,36300,14
2026-03-23 12:09:00,36400,36450,36400,36450,18
2026-03-23 12:10:00,36400,36400,36400,36400,454
2026-03-23 12:11:00,36350,36400,36350,36400,88
2026-03-23 12:12:00,36400,36450,36300,36450,73
2026-03-23 12:13:00,36400,36400,36300,36300,25
2026-03-23 12:14:00,36400,36450,36350,36350,52
2026-03-23 12:15:00,36350,36350,36300,36300,187
2026-03-23 12:16:00,36350,36350,36300,36300,251
2026-03-23 12:17:00,36350,36350,36350,36350,8
2026-03-23 12:18:00,36350,36400,36350,36400,42
2026-03-23 12:19:00,36400,36400,36300,36400,113
2026-03-23 12:20:00,36400,36400,36400,36400,10
2026-03-23 12:21:00,36400,36400,36300,36400,472
2026-03-23 12:22:00,36400,36500,36400,36500,308
2026-03-23 12:23:00,36500,36500,36500,36500,14
2026-03-23 12:24:00,36500,36600,36000,36350,4093
2026-03-23 12:25:00,36350,36350,36200,36300,198
2026-03-23 12:26:00,36300,36300,36300,36300,6
2026-03-23 12:27:00,36400,36400,36400,36400,14
2026-03-23 12:28:00,36400,36550,36400,36550,57
2026-03-23 12:29:00,36500,36500,36500,36500,13
2026-03-23 12:30:00,36500,36500,36250,36250,123
2026-03-23 12:31:00,36250,36450,36250,36450,20
2026-03-23 12:32:00,36450,36450,36450,36450,8
2026-03-23 12:34:00,36400,36400,36400,36400,19
2026-03-23 12:35:00,36400,36400,36400,36400,35
2026-03-23 12:36:00,36400,36400,36400,36400,10
2026-03-23 12:37:00,36300,36400,36200,36300,337
2026-03-23 12:38:00,36400,36400,36050,36050,830
2026-03-23 12:39:00,36200,36350,36200,36350,21
2026-03-23 12:40:00,36350,36350,36350,36350,1
