date_idx,open,high,low,close,volume
2026-02-02 14:54:00,13260,13260,13260,13260,2
2026-02-02 15:00:00,13250,13260,13230,13260,38
2026-02-02 15:01:00,13260,13270,13260,13270,101
2026-02-02 15:03:00,13240,13270,13240,13270,3
2026-02-02 15:05:00,13260,13260,13260,13260,5
2026-02-02 15:07:00,13250,13250,13240,13240,51
2026-02-02 15:08:00,13230,13240,13230,13230,108
2026-02-02 15:09:00,13240,13240,13240,13240,32
2026-02-02 15:10:00,13230,13230,13230,13230,41
2026-02-02 15:11:00,13240,13240,13240,13240,1
2026-02-02 15:12:00,13240,13240,13240,13240,10
2026-02-02 15:13:00,13240,13240,13240,13240,4
2026-02-02 15:15:00,13230,13240,13230,13240,65
2026-02-02 15:16:00,13250,13250,13250,13250,1
2026-02-02 15:17:00,13250,13250,13230,13230,167
2026-02-02 15:18:00,13250,13250,13250,13250,1
2026-02-02 15:30:00,13250,13250,13250,13250,200
2026-02-03 09:00:00,13350,13500,13350,13500,163
2026-02-03 09:01:00,13460,13460,13460,13460,5
2026-02-03 09:03:00,13460,13460,13460,13460,10
2026-02-03 09:04:00,13370,13370,13370,13370,46
2026-02-03 09:06:00,13370,13370,13370,13370,10
2026-02-03 09:08:00,13370,13370,13370,13370,5
2026-02-03 09:09:00,13350,13350,13310,13310,36
2026-02-03 09:11:00,13300,13300,13280,13280,21
2026-02-03 09:12:00,13280,13280,13210,13210,458
2026-02-03 09:13:00,13240,13240,13210,13210,3
2026-02-03 09:14:00,13200,13200,13200,13200,71
2026-02-03 09:15:00,13230,13230,13200,13230,216
2026-02-03 09:16:00,13240,13240,13200,13200,658
2026-02-03 09:19:00,13200,13200,13200,13200,6
2026-02-03 09:20:00,13200,13200,13200,13200,260
2026-02-03 09:21:00,13200,13200,13180,13180,183
2026-02-03 09:22:00,13250,13310,13250,13310,233
2026-02-03 09:26:00,13310,13310,13310,13310,1367
2026-02-03 09:27:00,13310,13310,13310,13310,200
2026-02-03 09:31:00,13310,13310,13310,13310,31
2026-02-03 09:32:00,13350,13370,13350,13370,131
2026-02-03 09:35:00,13370,13370,13360,13360,112
2026-02-03 09:40:00,13360,13360,13360,13360,10
2026-02-03 09:41:00,13350,13350,13350,13350,3
2026-02-03 09:42:00,13360,13360,13250,13250,1451
2026-02-03 09:43:00,13250,13250,13240,13240,8
2026-02-03 09:44:00,13210,13210,13190,13190,504
2026-02-03 09:45:00,13220,13220,13200,13200,10
2026-02-03 09:46:00,13180,13180,13180,13180,11
2026-02-03 09:47:00,13180,13180,13180,13180,4
2026-02-03 09:48:00,13180,13190,13180,13190,368
2026-02-03 09:49:00,13220,13230,13220,13230,11
2026-02-03 09:50:00,13220,13220,13220,13220,11
2026-02-03 09:51:00,13220,13220,13220,13220,8
2026-02-03 09:52:00,13220,13220,13220,13220,6
2026-02-03 09:53:00,13220,13220,13220,13220,5
2026-02-03 09:54:00,13230,13230,13230,13230,2
2026-02-03 09:55:00,13200,13200,13160,13160,140
2026-02-03 09:56:00,13220,13230,13220,13230,17
2026-02-03 09:57:00,13230,13230,13230,13230,1
2026-02-03 09:58:00,13190,13240,13190,13240,32
2026-02-03 10:00:00,13310,13310,13310,13310,1
2026-02-03 10:02:00,13300,13300,13300,13300,3
2026-02-03 10:04:00,13250,13250,13250,13250,4
2026-02-03 10:05:00,13240,13240,13240,13240,75
2026-02-03 10:06:00,13300,13300,13300,13300,1
2026-02-03 10:08:00,13300,13300,13300,13300,2
2026-02-03 10:09:00,13310,13320,13300,13300,6
2026-02-03 10:10:00,13300,13360,13220,13230,149
2026-02-03 10:12:00,13230,13230,13230,13230,10
2026-02-03 10:13:00,13230,13230,13230,13230,67
2026-02-03 10:20:00,13260,13260,13240,13240,25
2026-02-03 10:21:00,13250,13250,13250,13250,20
